played_at,ms_played,track_name,artist_name,album_name,spotify_track_uri,copies
2021-03-22 18:13:06+00:00,178053,Aftersun,Màia,Estels a les Butxaques,spotify:track:15nk4jbI136QElu0QKRCPk,2
2021-04-08 05:40:09+00:00,0,Night Watcher,Jordi Forniés,Night Watcher,spotify:track:6wy3kklUwbECCixP5M8jTn,2
2021-04-19 05:25:01+00:00,0,Night Watcher,Jordi Forniés,Night Watcher,spotify:track:6wy3kklUwbECCixP5M8jTn,2
2021-05-11 05:50:37+00:00,0,Night Watcher,Jordi Forniés,Night Watcher,spotify:track:6wy3kklUwbECCixP5M8jTn,2
2021-05-19 06:45:18+00:00,0,Bounty,Aftertheparty,Bounty,spotify:track:2fSqMltkIff1dBwKdFNoNu,2
2021-05-20 06:20:04+00:00,0,Bounty,Aftertheparty,Bounty,spotify:track:2fSqMltkIff1dBwKdFNoNu,2
2021-05-24 05:25:02+00:00,0,Bounty,Aftertheparty,Bounty,spotify:track:2fSqMltkIff1dBwKdFNoNu,2
2021-05-24 05:35:12+00:00,0,Bounty,Aftertheparty,Bounty,spotify:track:2fSqMltkIff1dBwKdFNoNu,2
2021-05-25 10:38:13+00:00,0,Bounty,Aftertheparty,Bounty,spotify:track:2fSqMltkIff1dBwKdFNoNu,2
2021-05-26 05:45:02+00:00,0,Bounty,Aftertheparty,Bounty,spotify:track:2fSqMltkIff1dBwKdFNoNu,2
